Date,gildopen,gildclose,gildlow,gildhigh,gildvolume
2008-01-02,22.979999542236328,22.670000076293945,22.524999618530273,23.329999923706055,13117800.0
2008-01-03,22.7549991607666,23.44499969482422,22.670000076293945,23.5,11630000.0
2008-01-04,23.469999313354492,22.950000762939453,22.924999237060547,23.674999237060547,15413200.0
2008-01-07,23.325000762939453,23.854999542236328,23.149999618530273,23.899999618530273,18028600.0
2008-01-08,24.040000915527344,23.424999237060547,23.415000915527344,24.225000381469727,19202200.0
2008-01-09,23.5,24.25,23.405000686645508,24.280000686645508,17632800.0
2008-01-10,24.1299991607666,24.110000610351562,23.7549991607666,24.459999084472656,19160000.0
2008-01-11,24.15999984741211,24.34000015258789,24.06999969482422,24.5,17491800.0
2008-01-14,24.190000534057617,24.079999923706055,23.684999465942383,24.524999618530273,16052600.0
2008-01-15,23.594999313354492,23.610000610351562,23.459999084472656,23.934999465942383,16480000.0
2008-01-16,23.690000534057617,23.809999465942383,23.68000030517578,24.360000610351562,21975400.0
2008-01-17,24.114999771118164,23.614999771118164,23.270000457763672,24.239999771118164,21521800.0
2008-01-18,23.3799991607666,23.084999084472656,22.565000534057617,24.06999969482422,27386400.0
2008-01-22,21.295000076293945,22.200000762939453,21.21500015258789,22.5,29237000.0
2008-01-23,21.735000610351562,22.405000686645508,21.079999923706055,22.5,35946800.0
2008-01-24,22.959999084472656,22.799999237060547,22.674999237060547,23.600000381469727,27393400.0
2008-01-25,23.0,21.53499984741211,21.40999984741211,23.200000762939453,35228400.0
2008-01-28,21.350000381469727,21.5,21.235000610351562,21.78499984741211,23082000.0
2008-01-29,21.684999465942383,21.575000762939453,21.329999923706055,21.760000228881836,27035400.0
2008-01-30,21.520000457763672,22.0,21.434999465942383,22.594999313354492,31165400.0
2008-01-31,22.440000534057617,22.844999313354492,22.225000381469727,22.950000762939453,27618600.0
2008-02-01,22.979999542236328,22.96500015258789,22.5049991607666,23.3700008392334,18107400.0
2008-02-04,22.954999923706055,23.145000457763672,22.8799991607666,23.25,11456000.0
2008-02-05,22.700000762939453,22.28499984741211,22.239999771118164,23.040000915527344,22260600.0
2008-02-06,22.395000457763672,22.434999465942383,22.30500030517578,22.979999542236328,18992200.0
2008-02-07,22.350000381469727,22.21500015258789,21.915000915527344,22.594999313354492,19635200.0
2008-02-08,22.06999969482422,22.264999389648438,21.844999313354492,22.329999923706055,14100400.0
2008-02-11,22.049999237060547,22.299999237060547,21.959999084472656,22.405000686645508,17082400.0
