Date,fisvopen,fisvclose,fisvlow,fisvhigh,fisvvolume
2008-01-02,13.789999961853027,13.8149995803833,13.782500267028809,14.199999809265137,11386800.0
2008-01-03,13.845000267028809,13.725000381469727,13.6875,13.925000190734863,5380400.0
2008-01-04,13.707500457763672,13.354999542236328,13.337499618530273,13.795000076293945,7042400.0
2008-01-07,13.47249984741211,13.359999656677246,13.15250015258789,13.47249984741211,7654000.0
2008-01-08,13.1875,13.204999923706055,13.1875,13.657500267028809,7601200.0
2008-01-09,13.21500015258789,13.395000457763672,13.21500015258789,13.442500114440918,8612400.0
2008-01-10,13.27750015258789,13.420000076293945,13.212499618530273,13.550000190734863,7067600.0
2008-01-11,13.467499732971191,13.007499694824219,12.932499885559082,13.484999656677246,9076400.0
2008-01-14,13.172499656677246,12.765000343322754,12.704999923706055,13.2475004196167,11915200.0
2008-01-15,12.675000190734863,12.510000228881836,12.510000228881836,12.75,13400400.0
2008-01-16,12.505000114440918,12.537500381469727,12.487500190734863,12.779999732971191,11733200.0
2008-01-17,12.587499618530273,12.375,12.34000015258789,12.614999771118164,9057600.0
2008-01-18,12.449999809265137,12.34749984741211,12.142499923706055,12.557499885559082,11128000.0
2008-01-22,11.8774995803833,12.02750015258789,11.75,12.267499923706055,8820800.0
2008-01-23,11.702500343322754,12.175000190734863,11.6875,12.202500343322754,11786800.0
2008-01-24,12.055000305175781,12.327500343322754,12.007499694824219,12.412500381469727,6887600.0
2008-01-25,12.475000381469727,12.057499885559082,12.022500038146973,12.475000381469727,7607200.0
2008-01-28,12.085000038146973,12.449999809265137,12.045000076293945,12.467499732971191,6222000.0
2008-01-29,12.457500457763672,12.484999656677246,12.337499618530273,12.515000343322754,6399200.0
2008-01-30,12.40999984741211,12.4350004196167,12.397500038146973,12.662500381469727,7332000.0
2008-01-31,12.297499656677246,12.842499732971191,12.297499656677246,12.917499542236328,9283200.0
2008-02-01,12.917499542236328,13.022500038146973,12.795000076293945,13.074999809265137,5937600.0
2008-02-04,13.055000305175781,12.90999984741211,12.835000038146973,13.055000305175781,3780800.0
2008-02-05,12.602499961853027,12.524999618530273,12.5,12.720000267028809,6970800.0
2008-02-06,12.587499618530273,12.397500038146973,12.3725004196167,12.697500228881836,7435600.0
