Date,tbtcopen,tbtcclose,tbtclow,tbtchigh,tbtcvolume
2008-01-02,4.150000095367432,4.349999904632568,4.150000095367432,4.349999904632568,1400.0
2008-01-03,4.25,4.25,4.25,4.25,500.0
2008-01-04,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,2000.0
2008-01-07,4.0,3.700000047683716,3.700000047683716,4.019999980926514,4800.0
2008-01-08,4.0,4.0,4.0,4.0,1500.0
2008-01-09,4.199999809265137,4.050000190734863,3.8499999046325684,4.449999809265137,5500.0
2008-01-10,3.5,3.799999952316284,3.299999952316284,4.0,3600.0
2008-01-11,4.019999980926514,4.019999980926514,4.019999980926514,4.019999980926514,1000.0
2008-01-14,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,1000.0
2008-01-15,4.099999904632568,4.0,3.5999999046325684,4.099999904632568,5900.0
2008-01-16,3.799999952316284,3.8499999046325684,3.609999895095825,3.8499999046325684,2800.0
2008-01-17,3.8499999046325684,4.0,3.8499999046325684,4.0,1900.0
2008-01-18,4.050000190734863,4.090000152587891,3.890000104904175,4.090000152587891,1800.0
2008-01-22,4.0,4.0,3.7100000381469727,4.0,1800.0
2008-01-23,4.0,4.0,4.0,4.0,0.0
2008-01-24,3.7799999713897705,3.990000009536743,3.7799999713897705,3.990000009536743,1000.0
2008-01-25,3.9000000953674316,4.0,3.9000000953674316,4.0,1000.0
2008-01-28,3.990000009536743,3.990000009536743,3.990000009536743,3.990000009536743,500.0
2008-01-29,3.990000009536743,3.990000009536743,3.990000009536743,3.990000009536743,0.0
2008-01-30,4.0,4.0,4.0,4.0,400.0
2008-01-31,4.0,4.0,4.0,4.0,1000.0
2008-02-01,3.890000104904175,3.890000104904175,3.890000104904175,3.890000104904175,1000.0
2008-02-04,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,500.0
2008-02-05,3.890000104904175,3.930000066757202,3.890000104904175,3.930000066757202,1000.0
2008-02-06,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,1000.0
2008-02-07,3.950000047683716,3.9100000858306885,3.9100000858306885,3.950000047683716,3400.0
2008-02-08,3.9100000858306885,4.0,3.9100000858306885,4.0,5300.0
