Date,chtropen,chtrclose,chtrlow,chtrhigh,chtrvolume
2010-01-05,35.0,35.0,35.0,35.0,10000
2010-01-06,35.0,35.0,35.0,35.0,0
2010-01-07,35.25,35.0,35.0,35.5,9800
2010-01-08,34.54999923706055,33.5,33.5,34.54999923706055,32200
2010-01-11,33.5,33.5,33.5,33.5,3700
2010-01-12,33.5,33.5,33.5,33.54999923706055,5100
2010-01-13,33.0099983215332,32.75,32.5,33.0099983215332,226300
2010-01-14,32.75,32.75,32.75,32.75,150500
2010-01-15,32.5,32.25,32.25,32.5,45500
2010-01-19,32.25,32.0,31.75,32.25,19400
2010-01-20,31.5,31.75,31.5,31.75,600
2010-01-21,31.5,31.600000381469727,31.5,31.600000381469727,600
2010-01-22,31.5,31.5,31.5,31.5,200
2010-01-25,31.100000381469727,31.25,31.0,31.25,1300
2010-01-26,31.0,30.75,30.75,31.0,300
2010-01-27,30.549999237060547,30.75,30.549999237060547,31.0,77000
2010-01-28,31.0,30.75,30.75,31.0,10400
2010-01-29,30.850000381469727,30.6299991607666,30.5,30.850000381469727,30700
2010-02-01,30.25,30.5,30.25,30.5,3500
2010-02-02,30.5,30.5,30.5,30.5,600
2010-02-03,30.100000381469727,29.75,29.75,30.100000381469727,5200
2010-02-04,30.0,30.25,30.0,30.25,29400
2010-02-05,30.479999542236328,30.5,30.0,30.5,1800
2010-02-08,30.0,29.850000381469727,29.75,30.0,47400
2010-02-09,29.100000381469727,29.799999237060547,29.100000381469727,29.799999237060547,29700
2010-02-10,29.399999618530273,29.75,29.399999618530273,29.850000381469727,107600
2010-02-11,29.739999771118164,29.739999771118164,29.5,29.739999771118164,10000
2010-02-12,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,100
2010-02-16,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0
2010-02-17,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0
2010-02-18,29.100000381469727,29.700000762939453,29.100000381469727,29.700000762939453,1700
2010-02-19,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-22,29.100000381469727,29.700000762939453,29.100000381469727,29.719999313354492,19700
2010-02-23,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-24,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0
2010-02-25,29.5,29.5,29.5,29.700000762939453,2800
2010-02-26,29.25,29.75,29.25,29.75,2700
2010-03-01,29.75,30.100000381469727,29.75,30.100000381469727,24800
2010-03-02,30.100000381469727,30.399999618530273,30.0,30.399999618530273,29100
2010-03-03,30.5,30.75,30.5,30.75,131800
2010-03-04,31.0,31.020000457763672,30.75,31.5,17000
2010-03-05,31.25,31.75,31.25,31.75,48900
2010-03-08,31.5,31.75,31.5,31.75,49100
2010-03-09,32.0,32.75,31.979999542236328,32.75,134900
2010-03-10,32.95000076293945,33.0,32.0,33.0,111000
2010-03-11,33.0,32.5,32.5,33.0,33100
2010-03-12,33.0,32.5,32.5,33.0,207600
2010-03-15,33.0,33.0,32.5,33.5,247100
2010-03-16,32.25,32.75,32.25,33.0,16500
2010-03-17,33.0,34.0,33.0,34.0,115000
2010-03-18,34.0,34.75,34.0,34.75,15400
2010-03-19,34.75,34.75,34.5,34.75,1300
2010-03-22,34.75,34.43000030517578,34.25,34.75,6000
2010-03-23,34.25,35.0,34.25,35.25,53700
2010-03-24,35.0,35.0,35.0,35.0,1400
2010-03-25,34.75,34.5,34.5,35.0,91000
2010-03-26,35.0,34.75,34.75,35.0,57800
2010-03-29,34.5,34.5,34.400001525878906,35.0,205600
2010-03-30,34.5,34.45000076293945,34.45000076293945,34.52000045776367,44000
2010-03-31,34.5,34.5,34.25,34.5,91700
2010-04-01,34.5,35.0,34.349998474121094,35.0,59600
2010-04-05,34.5,35.0,34.5,35.0,45500
2010-04-06,35.0,34.54999923706055,34.54999923706055,35.0,1300
2010-04-07,34.54999923706055,34.54999923706055,34.54999923706055,35.0,51800
2010-04-08,34.54999923706055,34.54999923706055,34.54999923706055,34.54999923706055,0
2010-04-09,34.54999923706055,34.70000076293945,34.54999923706055,34.70000076293945,50500
2010-04-12,34.75,35.0,34.75,35.25,190400
2010-04-13,35.0,35.0,35.0,35.0,0
