Date,sanwopen,sanwclose,sanwlow,sanwhigh,sanwvolume
2010-06-14,4.400000095367432,4.0,4.0,4.400000095367432,5100
2010-06-15,4.0,4.0,4.0,4.050000190734863,16900
2010-06-16,3.950000047683716,4.099999904632568,3.950000047683716,4.099999904632568,3000
2010-06-17,4.199999809265137,3.950000047683716,3.950000047683716,4.199999809265137,1200
2010-06-18,3.950000047683716,3.7100000381469727,3.7100000381469727,3.950000047683716,22300
2010-06-21,3.7300000190734863,3.569999933242798,3.549999952316284,3.7300000190734863,11200
2010-06-22,3.5999999046325684,3.490000009536743,3.490000009536743,3.5999999046325684,5300
2010-06-23,3.450000047683716,3.4200000762939453,3.369999885559082,3.450000047683716,17100
2010-06-24,3.4200000762939453,3.5,3.4000000953674316,3.5,3000
2010-06-25,3.450000047683716,3.509999990463257,3.0999999046325684,3.5199999809265137,32000
2010-06-28,3.5,3.5899999141693115,3.5,3.640000104904175,2800
2010-06-29,3.5,3.299999952316284,3.299999952316284,3.5,5400
2010-06-30,3.25,3.2699999809265137,3.25,3.2699999809265137,500
2010-07-01,3.3499999046325684,3.1600000858306885,2.8499999046325684,3.3499999046325684,22700
2010-07-02,2.950000047683716,3.049999952316284,2.950000047683716,3.0999999046325684,2800
2010-07-06,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,0
2010-07-07,3.0,2.950000047683716,2.8499999046325684,3.0,8800
2010-07-08,3.0,3.25,3.0,3.490000009536743,11500
2010-07-09,3.25,3.490000009536743,3.25,3.490000009536743,10100
2010-07-12,3.5999999046325684,3.549999952316284,3.5,3.5999999046325684,18300
2010-07-13,3.690000057220459,3.700000047683716,3.6600000858306885,3.700000047683716,3800
2010-07-14,3.75,3.799999952316284,3.700000047683716,3.9100000858306885,7600
2010-07-15,3.9000000953674316,3.869999885559082,3.869999885559082,3.9200000762939453,700
2010-07-16,3.990000009536743,3.5,3.5,3.990000009536743,4200
2010-07-19,3.7899999618530273,3.5999999046325684,3.5999999046325684,3.799999952316284,9300
2010-07-20,3.5999999046325684,3.5,3.309999942779541,3.5999999046325684,30800
2010-07-21,3.5,3.569999933242798,3.309999942779541,3.569999933242798,3800
2010-07-22,3.5899999141693115,3.5999999046325684,3.5,3.5999999046325684,5900
2010-07-23,3.4000000953674316,3.5999999046325684,3.299999952316284,3.5999999046325684,9300
2010-07-26,3.5899999141693115,3.5,3.4000000953674316,3.5899999141693115,6000
2010-07-27,3.359999895095825,3.5,3.25,3.5,9800
2010-07-28,3.5,3.4000000953674316,3.299999952316284,3.5,4400
2010-07-29,3.450000047683716,3.450000047683716,3.450000047683716,3.450000047683716,400
