Date,aclsopen,aclsclose,aclslow,aclshigh,aclsvolume
2008-01-02,18.31999969482422,18.760000228881836,18.280000686645508,19.239999771118164,122100.0
2008-01-03,18.760000228881836,18.31999969482422,18.040000915527344,19.040000915527344,222500.0
2008-01-04,18.0,17.520000457763672,17.200000762939453,18.31999969482422,199900.0
2008-01-07,17.559999465942383,17.799999237060547,17.1200008392334,18.360000610351562,252900.0
2008-01-08,17.84000015258789,17.0,16.920000076293945,18.479999542236328,174500.0
2008-01-09,16.8799991607666,17.1200008392334,16.1200008392334,17.600000381469727,260600.0
2008-01-10,16.959999084472656,17.520000457763672,16.440000534057617,17.920000076293945,165500.0
2008-01-11,17.360000610351562,16.559999465942383,16.559999465942383,17.559999465942383,138600.0
2008-01-14,16.719999313354492,17.399999618530273,16.719999313354492,17.68000030517578,123300.0
2008-01-15,17.200000762939453,16.200000762939453,16.200000762939453,17.200000762939453,177300.0
2008-01-16,16.200000762939453,17.280000686645508,16.079999923706055,18.0,223400.0
2008-01-17,17.31999969482422,16.479999542236328,16.0,17.559999465942383,223600.0
2008-01-18,16.239999771118164,16.15999984741211,16.040000915527344,16.760000228881836,380300.0
2008-01-22,15.960000038146973,15.479999542236328,15.399999618530273,16.239999771118164,204100.0
2008-01-23,15.119999885559082,16.0,14.800000190734863,16.31999969482422,576500.0
2008-01-24,16.079999923706055,16.31999969482422,15.5600004196167,16.520000457763672,256900.0
2008-01-25,16.479999542236328,16.1200008392334,16.0,16.639999389648438,105400.0
2008-01-28,16.040000915527344,16.239999771118164,16.0,16.479999542236328,108100.0
2008-01-29,16.360000610351562,16.520000457763672,15.600000381469727,16.68000030517578,221100.0
2008-01-30,16.15999984741211,16.0,15.920000076293945,16.719999313354492,157600.0
2008-01-31,15.920000076293945,15.960000038146973,15.640000343322754,16.479999542236328,377000.0
2008-02-01,16.31999969482422,16.440000534057617,16.0,17.639999389648438,345800.0
2008-02-04,16.479999542236328,16.719999313354492,16.31999969482422,17.639999389648438,227500.0
2008-02-05,16.360000610351562,16.0,16.0,16.760000228881836,203800.0
2008-02-06,16.15999984741211,16.239999771118164,16.040000915527344,16.639999389648438,174800.0
2008-02-07,16.200000762939453,16.15999984741211,16.0,16.479999542236328,191200.0
2008-02-08,16.200000762939453,16.15999984741211,16.1200008392334,16.479999542236328,215600.0
2008-02-11,19.8799991607666,19.920000076293945,19.1200008392334,20.479999542236328,922400.0
2008-02-12,19.799999237060547,20.799999237060547,19.799999237060547,21.520000457763672,616300.0
2008-02-13,20.8799991607666,21.0,20.600000381469727,21.200000762939453,1079000.0
2008-02-14,20.959999084472656,20.68000030517578,20.559999465942383,21.200000762939453,333500.0
2008-02-15,20.639999389648438,20.559999465942383,20.479999542236328,20.959999084472656,188900.0
2008-02-19,20.799999237060547,20.440000534057617,19.920000076293945,20.799999237060547,157500.0
2008-02-20,20.15999984741211,20.360000610351562,20.15999984741211,20.520000457763672,103600.0
2008-02-21,20.479999542236328,19.479999542236328,19.399999618530273,20.600000381469727,135900.0
2008-02-22,19.479999542236328,20.639999389648438,19.479999542236328,20.719999313354492,172600.0
2008-02-25,20.239999771118164,20.84000015258789,19.84000015258789,21.0,182900.0
2008-02-26,20.84000015258789,21.280000686645508,20.760000228881836,21.84000015258789,123800.0
2008-02-27,21.1200008392334,21.31999969482422,20.920000076293945,21.479999542236328,87600.0
2008-02-28,21.200000762939453,21.68000030517578,21.1200008392334,21.760000228881836,236400.0
