Date,luluopen,luluclose,lululow,luluhigh,luluvolume
2008-01-02,23.69499969482422,22.40999984741211,22.264999389648438,24.165000915527344,708200.0
2008-01-03,22.40999984741211,22.3799991607666,21.780000686645508,22.639999389648438,709400.0
2008-01-04,21.8700008392334,20.270000457763672,20.165000915527344,21.915000915527344,1559000.0
2008-01-07,20.735000610351562,19.225000381469727,18.885000228881836,20.735000610351562,1583200.0
2008-01-08,19.354999542236328,18.46500015258789,18.420000076293945,19.860000610351562,1163800.0
2008-01-09,18.4950008392334,17.0,16.854999542236328,18.4950008392334,2324200.0
2008-01-10,17.0,17.360000610351562,16.875,17.850000381469727,2726000.0
2008-01-11,17.2549991607666,16.53499984741211,16.469999313354492,17.375,1570800.0
2008-01-14,16.790000915527344,17.239999771118164,16.30500030517578,17.475000381469727,1535600.0
2008-01-15,16.545000076293945,16.010000228881836,15.5,17.0,1986600.0
2008-01-16,15.765000343322754,16.770000457763672,15.430000305175781,17.3700008392334,2442200.0
2008-01-17,17.0,16.15999984741211,16.010000228881836,18.190000534057617,3325000.0
2008-01-18,16.219999313354492,15.460000038146973,14.375,16.375,4749800.0
2008-01-22,13.494999885559082,14.765000343322754,13.199999809265137,16.125,3919800.0
2008-01-23,13.824999809265137,15.5,12.5,15.885000228881836,6653800.0
2008-01-24,15.824999809265137,16.05500030517578,15.5,17.0,2585200.0
2008-01-25,16.350000381469727,15.335000038146973,15.104999542236328,16.950000762939453,1667000.0
2008-01-28,15.59000015258789,15.850000381469727,14.875,16.0,1319000.0
2008-01-29,15.6850004196167,15.119999885559082,14.569999694824219,15.84000015258789,1937600.0
2008-01-30,15.0,15.899999618530273,14.75,16.6200008392334,2877200.0
2008-01-31,15.515000343322754,16.94499969482422,15.385000228881836,17.094999313354492,2164400.0
2008-02-01,16.895000457763672,17.450000762939453,16.600000381469727,17.5,2186400.0
2008-02-04,17.364999771118164,17.0,16.639999389648438,17.5,986600.0
2008-02-05,16.864999771118164,16.850000381469727,16.424999237060547,17.200000762939453,1537400.0
2008-02-06,16.40999984741211,16.709999084472656,16.325000762939453,17.334999084472656,1309000.0
2008-02-07,16.274999618530273,17.0049991607666,15.949999809265137,17.135000228881836,2076200.0
2008-02-08,17.0,17.125,16.959999084472656,17.5,1010200.0
2008-02-11,17.149999618530273,17.184999465942383,17.125,17.28499984741211,1959600.0
2008-02-12,17.309999465942383,17.655000686645508,17.299999237060547,17.989999771118164,2007600.0
2008-02-13,17.959999084472656,17.325000762939453,17.2549991607666,17.959999084472656,1210600.0
2008-02-14,17.325000762939453,16.614999771118164,16.540000915527344,17.5,875800.0
2008-02-15,16.424999237060547,16.030000686645508,15.204999923706055,16.424999237060547,1937800.0
2008-02-19,16.25,16.049999237060547,15.994999885559082,16.5,1050200.0
2008-02-20,15.904999732971191,15.239999771118164,15.1899995803833,15.904999732971191,1643000.0
2008-02-21,15.699999809265137,13.515000343322754,13.204999923706055,15.699999809265137,6384000.0
2008-02-22,14.0,14.96500015258789,13.920000076293945,15.0,4840600.0
2008-02-25,14.550000190734863,14.75,14.3149995803833,15.204999923706055,2701200.0
2008-02-26,14.75,14.53499984741211,14.149999618530273,14.795000076293945,2286600.0
2008-02-27,14.295000076293945,14.5,14.260000228881836,14.6899995803833,949800.0
2008-02-28,14.8149995803833,14.420000076293945,14.095000267028809,14.8149995803833,1119600.0
2008-02-29,14.100000381469727,13.449999809265137,13.444999694824219,14.345000267028809,2086400.0
2008-03-03,14.204999923706055,13.104999542236328,13.0,14.234999656677246,1810000.0
2008-03-04,12.875,13.0,12.75,13.239999771118164,1717000.0
2008-03-05,13.46500015258789,13.895000457763672,13.0,13.960000038146973,1385400.0
2008-03-06,13.795000076293945,12.53499984741211,12.414999961853027,13.845000267028809,2746000.0
2008-03-07,12.255000114440918,11.545000076293945,11.0600004196167,12.505000114440918,3550600.0
2008-03-10,11.430000305175781,10.859999656677246,10.625,11.675000190734863,1755200.0
2008-03-11,12.095000267028809,13.074999809265137,11.670000076293945,13.140000343322754,4220400.0
2008-03-12,13.225000381469727,13.100000381469727,12.375,13.595000267028809,1746200.0
2008-03-13,12.845000267028809,13.885000228881836,12.539999961853027,14.899999618530273,3515400.0
2008-03-14,13.975000381469727,13.595000267028809,13.28499984741211,14.574999809265137,1997800.0
2008-03-17,12.944999694824219,13.0,12.574999809265137,13.0,866800.0
2008-03-18,13.204999923706055,13.390000343322754,12.755000114440918,14.074999809265137,2041000.0
2008-03-19,13.425000190734863,13.164999961853027,13.0600004196167,14.0,931800.0
2008-03-20,13.914999961853027,13.819999694824219,13.085000038146973,13.994999885559082,2218400.0
2008-03-24,14.0,15.5649995803833,13.970000267028809,15.664999961853027,2104600.0
2008-03-25,15.5,15.574999809265137,14.899999618530273,15.625,984600.0
