Date,panwopen,panwclose,panwlow,panwhigh,panwvolume
2012-07-20,55.150001525878906,53.130001068115234,53.099998474121094,62.06999969482422,7016100
2012-07-23,52.599998474121094,51.5099983215332,51.099998474121094,54.0,788400
2012-07-24,52.0,55.5,51.52000045776367,56.0,716800
2012-07-25,56.5,58.95000076293945,55.29999923706055,59.0,599700
2012-07-26,59.779998779296875,59.880001068115234,58.08000183105469,61.849998474121094,427800
2012-07-27,60.880001068115234,57.0,57.0,60.880001068115234,153400
2012-07-30,56.86000061035156,55.0,53.91999816894531,56.86000061035156,276400
2012-07-31,55.0,57.13999938964844,52.209999084472656,57.13999938964844,285400
2012-08-01,58.720001220703125,56.18000030517578,55.13999938964844,58.720001220703125,110900
2012-08-02,55.68000030517578,55.099998474121094,53.27000045776367,60.0,166000
2012-08-03,56.650001525878906,54.790000915527344,54.25,56.900001525878906,290900
2012-08-06,55.70000076293945,54.779998779296875,53.68000030517578,55.91999816894531,156300
2012-08-07,55.0,56.79999923706055,54.52000045776367,57.439998626708984,365800
2012-08-08,56.20000076293945,60.93000030517578,55.869998931884766,61.0,503900
2012-08-09,61.0,61.33000183105469,59.86000061035156,62.459999084472656,292700
2012-08-10,61.0,61.31999969482422,60.4900016784668,63.970001220703125,285100
2012-08-13,61.099998474121094,62.720001220703125,60.0,63.08000183105469,222000
2012-08-14,64.12999725341797,59.79999923706055,59.33000183105469,64.36000061035156,473700
2012-08-15,59.599998474121094,62.72999954223633,57.70000076293945,62.900001525878906,253800
2012-08-16,63.5,66.5,61.869998931884766,66.91000366210938,371800
2012-08-17,67.0999984741211,67.29000091552734,64.83999633789062,68.5,384600
2012-08-20,66.77999877929688,65.47000122070312,64.97000122070312,67.1500015258789,270000
2012-08-21,65.4800033569336,64.31999969482422,63.279998779296875,66.43000030517578,247600
2012-08-22,65.05999755859375,63.25,63.119998931884766,65.16999816894531,124600
2012-08-23,63.20000076293945,64.13999938964844,62.5,64.87999725341797,215300
2012-08-24,63.45000076293945,64.7699966430664,63.25,65.7699966430664,202900
2012-08-27,65.05000305175781,63.689998626708984,62.619998931884766,65.83999633789062,177000
2012-08-28,63.70000076293945,63.900001525878906,62.90999984741211,64.41000366210938,104200
2012-08-29,64.22000122070312,64.7300033569336,63.099998474121094,65.0999984741211,162000
2012-08-30,64.70999908447266,63.43000030517578,63.27000045776367,66.66999816894531,229900
2012-08-31,64.4800033569336,64.37999725341797,63.099998474121094,64.58000183105469,92300
2012-09-04,65.30000305175781,70.20999908447266,63.900001525878906,70.27999877929688,767800
2012-09-05,72.61000061035156,70.0,69.12000274658203,72.61000061035156,473000
2012-09-06,70.70999908447266,71.41000366210938,70.37999725341797,72.0,224800
2012-09-07,72.16000366210938,70.73999786376953,69.36000061035156,72.22000122070312,589900
2012-09-10,71.51000213623047,71.75,71.12999725341797,72.5999984741211,1384900
2012-09-11,66.75,66.5999984741211,64.33000183105469,69.73999786376953,3025800
2012-09-12,67.68000030517578,64.86000061035156,64.75,68.25,689100
2012-09-13,64.75,67.9800033569336,64.75,68.2300033569336,767500
2012-09-14,68.58999633789062,66.98999786376953,66.87999725341797,68.97000122070312,424700
2012-09-17,66.72000122070312,67.91000366210938,66.58000183105469,67.9800033569336,148400
