Date,uhalopen,uhalclose,uhallow,uhalhigh,uhalvolume
2008-01-02,65.69000244140625,63.099998474121094,63.04999923706055,66.61000061035156,58000.0
2008-01-03,62.97999954223633,61.4900016784668,61.22999954223633,64.31999969482422,84000.0
2008-01-04,60.9900016784668,60.08000183105469,59.400001525878906,61.709999084472656,61900.0
2008-01-07,60.25,62.65999984741211,59.310001373291016,64.0,71900.0
2008-01-08,62.709999084472656,59.939998626708984,59.84000015258789,64.44000244140625,54000.0
2008-01-09,59.459999084472656,63.04999923706055,59.459999084472656,63.52000045776367,147400.0
2008-01-10,61.040000915527344,66.86000061035156,61.0,67.9000015258789,96000.0
2008-01-11,66.19999694824219,62.84000015258789,62.84000015258789,66.19999694824219,59500.0
2008-01-14,63.61000061035156,67.45999908447266,63.439998626708984,67.69000244140625,105100.0
2008-01-15,66.26000213623047,65.94999694824219,63.9900016784668,66.51000213623047,69500.0
2008-01-16,65.80000305175781,67.68000030517578,64.93000030517578,68.58999633789062,84300.0
2008-01-17,68.05000305175781,65.69999694824219,65.05000305175781,68.05000305175781,58100.0
2008-01-18,65.68000030517578,66.4000015258789,63.290000915527344,66.91999816894531,85000.0
2008-01-22,63.619998931884766,66.94000244140625,63.619998931884766,69.01000213623047,66500.0
2008-01-23,65.43000030517578,67.2300033569336,61.93000030517578,70.33000183105469,156100.0
2008-01-24,67.48999786376953,68.83000183105469,65.41000366210938,69.08999633789062,63400.0
2008-01-25,69.94999694824219,68.23999786376953,67.62000274658203,70.97000122070312,28100.0
2008-01-28,68.22000122070312,69.94999694824219,66.2699966430664,70.26000213623047,76000.0
2008-01-29,69.98999786376953,69.56999969482422,66.62000274658203,69.98999786376953,35400.0
2008-01-30,68.95999908447266,67.44000244140625,67.37000274658203,70.0,90600.0
2008-01-31,66.47000122070312,69.4800033569336,66.47000122070312,70.52999877929688,93900.0
2008-02-01,69.9000015258789,71.30000305175781,68.83000183105469,71.5199966430664,76000.0
2008-02-04,70.19000244140625,70.38999938964844,67.58000183105469,71.9800033569336,50000.0
2008-02-05,68.77999877929688,67.30000305175781,67.26000213623047,70.18000030517578,53100.0
2008-02-06,66.30999755859375,61.9900016784668,60.15999984741211,66.30999755859375,181000.0
2008-02-07,61.060001373291016,57.95000076293945,57.709999084472656,66.48999786376953,173400.0
2008-02-08,57.88999938964844,58.06999969482422,57.369998931884766,59.5,104700.0
2008-02-11,59.72999954223633,58.0,56.709999084472656,59.72999954223633,95400.0
2008-02-12,58.41999816894531,54.220001220703125,54.0,59.189998626708984,133600.0
2008-02-13,55.0,57.630001068115234,54.5099983215332,57.66999816894531,95600.0
2008-02-14,55.33000183105469,57.25,55.08000183105469,58.15999984741211,100500.0
2008-02-15,56.83000183105469,54.54999923706055,54.0099983215332,56.83000183105469,64000.0
2008-02-19,55.38999938964844,54.130001068115234,53.470001220703125,55.97999954223633,76700.0
2008-02-20,54.150001525878906,55.66999816894531,54.150001525878906,56.650001525878906,285200.0
2008-02-21,56.290000915527344,53.86000061035156,53.779998779296875,56.810001373291016,69600.0
2008-02-22,53.83000183105469,53.4900016784668,52.61000061035156,54.7400016784668,48700.0
2008-02-25,53.400001525878906,57.029998779296875,52.5099983215332,57.349998474121094,301600.0
2008-02-26,56.63999938964844,58.060001373291016,56.36000061035156,59.0,94000.0
2008-02-27,57.130001068115234,59.130001068115234,57.130001068115234,59.150001525878906,77900.0
2008-02-28,58.63999938964844,55.0,54.90999984741211,58.7599983215332,71300.0
2008-02-29,54.900001525878906,52.11000061035156,51.880001068115234,55.08000183105469,83000.0
2008-03-03,52.66999816894531,51.0,50.29999923706055,52.93000030517578,60500.0
2008-03-04,50.2599983215332,52.349998474121094,49.90999984741211,52.84000015258789,63200.0
2008-03-05,52.709999084472656,51.7599983215332,50.95000076293945,53.7599983215332,39300.0
2008-03-06,51.380001068115234,49.34000015258789,49.34000015258789,52.029998779296875,50600.0
2008-03-07,48.43000030517578,49.689998626708984,47.9900016784668,50.70000076293945,70200.0
2008-03-10,49.77000045776367,47.869998931884766,47.529998779296875,51.58000183105469,47700.0
2008-03-11,49.650001525878906,52.709999084472656,49.59000015258789,52.720001220703125,105000.0
2008-03-12,52.88999938964844,51.56999969482422,51.25,53.72999954223633,77100.0
2008-03-13,50.720001220703125,53.7400016784668,48.68000030517578,53.79999923706055,71800.0
2008-03-14,54.099998474121094,51.88999938964844,51.560001373291016,54.13999938964844,70900.0
2008-03-17,49.310001373291016,50.45000076293945,49.0099983215332,51.75,74100.0
2008-03-18,51.540000915527344,53.9900016784668,50.25,53.9900016784668,106400.0
2008-03-19,53.9900016784668,52.83000183105469,52.83000183105469,53.9900016784668,69100.0
2008-03-20,53.59000015258789,56.56999969482422,51.529998779296875,56.849998474121094,180200.0
2008-03-24,56.86000061035156,59.310001373291016,56.86000061035156,60.52000045776367,78100.0
2008-03-25,59.47999954223633,58.849998474121094,58.02000045776367,60.2599983215332,43700.0
2008-03-26,58.45000076293945,57.900001525878906,57.29999923706055,59.529998779296875,53800.0
